data;Valor Fora do SPI;Valor SPI;Total;G2P;P2G;G2G;G2B;B2G;P2B;B2P;P2P;B2B;perc_fora_spi;perc_spi;perc_G2P;perc_P2G;perc_G2G;perc_G2B;perc_B2G;perc_P2B;perc_B2P;perc_P2P;perc_B2B
2024-07-31;382969.06;1954750.08;2337719.13;7092567;2885744;3765691;3626893;7622833;228767977;249094483;585184823;866709060;0.1638216734787981;0.8361783307988758;0.0036283753637986185;0.0014762726155184266;0.0019264309314354286;0.0018554254345899957;0.0038996458488937944;0.11703182948752532;0.12743034861360544;0.29936554635889306;0.4433861253457399
2024-08-31;377641.97;1948182.35;2325824.32;5740049;2833280;3492088;5057474;7206562;234857429;254058254;595088046;839849160;0.1623690864149189;0.8376309135850812;0.002946361270325075;0.0014543197209617251;0.001792485192333193;0.0025959962222057756;0.003699120890605013;0.12055207766583895;0.13040784146476983;0.3054580842720727;0.43109371330088775
2024-09-30;375402.49;1937483.53;2312886.02;1458321;3008855;3401887;6302681;7214599;232004227;251483570;581530665;850653588;0.16230911802562584;0.8376908819743741;0.000752853401461708;0.0015533114597232485;0.0017562129320899621;0.0032537382573370878;0.0037245129140513213;0.11977141620428167;0.12982756271509055;0.3002132858263298;0.4391471062896347
2024-10-31;388622.07;2088462.98;2477085.05;1317487;3276769;4087419;7350677;8776235;246871921;266150728;615694674;934893966;0.1568868497268594;0.8431131502731407;0.0006308535056290568;0.0015690182983108135;0.001957182579505387;0.0035197313933244714;0.004202332634761804;0.11820990780495713;0.12744119659968223;0.2948136440739372;0.44765613310989194
2024-11-30;375892.35;2081560.93;2457453.29;1067982;3071474;3587753;10916673;8060732;250543623;263616659;622969253;917726771;0.15296011994596243;0.8470398759847841;0.0005130678567889332;0.0014755628675042574;0.001723587796796262;0.005244464812492733;0.0038724458758574313;0.12036333916184398;0.1266437395452255;0.29927985629169096;0.4408839357917999
2024-12-31;450406.12;2329179.21;2779585.34;1136651;3982026;5434711;6634074;11554119;277995041;295723268;701925180;1024702968;0.16204075964798403;0.837959236754357;0.00048802405982731686;0.0017096932082564756;0.002333407287028452;0.0028483569069792285;0.004960791009824422;0.11935789307419903;0.126969553393928;0.3013733996086927;0.4399588814512644
2025-01-31;392968.87;2077338.55;2470307.42;1036011;6390287;3931150;3429220;12025614;244403609;254994832;575858291;974694807;0.1590769095451286;0.8409230904548715;0.0004988583629606672;0.0030770407955792293;0.001892921072800218;0.001651232540418952;0.005790554457082869;0.1176848356701029;0.12278470446254948;0.27728636505364085;0.4693334875848649
2025-02-28;387697.58;2044475.89;2432173.47;1183743;5040113;4571828;5711239;9975092;241025961;256510979;585901180;934486990;0.15940375338441629;0.8405962466155836;0.0005790152976501684;0.002465317665139716;0.0022362610382704474;0.002793591809654841;0.004879210152429888;0.11789528516733183;0.12546961701671824;0.28658733029997635;0.45709437155282856
2025-03-31;398047.94;2172420.51;2570468.46;1098106;4992793;4629691;5902822;9992306;261969276;274744180;624154857;984936468;0.15485424007108806;0.8451457560385705;0.00050547580475579;0.0022982626992786447;0.002131121024742273;0.0027171636442931578;0.004599618722342023;0.12058865957147277;0.126469152784403;0.2873084917433381;0.45338205400537424
2025-04-30;422593.89;2254213.81;2676807.7;1919201;5104073;4887858;4780150;11659216;270486220;290271496;638687432;1026258159;0.15787233800918907;0.8421276619908109;0.0008514441828064526;0.0022643971446812913;0.0021684744122600925;0.0021206902822801074;0.005172554432435121;0.11999989503356154;0.12877753643507192;0.2833505706843586;0.4552944373925448
2025-05-31;442928.39;2379223.3;2822151.68;7914880;6973029;4895315;5970998;10816806;286528814;297050446;682395804;1076677199;0.15694705324980973;0.8430529502935858;0.0033266654836223188;0.0029308005794904603;0.00205752651233608;0.002509641706428638;0.004546360167587986;0.1204295599676861;0.1248518569583892;0.2868145274894251;0.4525330611350341
2025-06-30;474350.43;2395480.75;2869831.18;9181246;4901654;4959664;13127680;11141339;281175003;293535458;663624053;1113784639;0.16528861812700774;0.8347113818729922;0.0038328163123310614;0.002046251609923402;0.00207046854891821;0.00548030039136978;0.004651079587717205;0.11737972581478974;0.122539739341476;0.27703746262693024;0.46496215576654437
2025-07-31;496541.53;2562055.97;3058597.5;8966091;5070284;4423863;6996676;13557113;298951174;309458941;704233223;1210350051;0.1623428810100054;0.8376571189899946;0.003499635068972025;0.0019790278390045065;0.001726717484255713;0.002730935108269023;0.005291597875687023;0.1166863031437845;0.12078768354353585;0.27487555992304746;0.4724225400134439
2025-08-31;;2550273.07;;3575569;4852975;4788414;6787188;12463227;303025044;312272087;707704243;1194771714;;;0.0014020517102916437;0.0019029480059684458;0.0018776323539790314;0.0026613913879080285;0.004887079156101586;0.11882214584626967;0.1224480952974732;0.2775049074088077;0.4684937488332007
